id_tiempo,ano,semana
2004-W30,2004,30
2004-W31,2004,31
2004-W32,2004,32
2004-W33,2004,33
2004-W34,2004,34
2004-W35,2004,35
2004-W36,2004,36
2004-W37,2004,37
2004-W38,2004,38
2004-W39,2004,39
2004-W40,2004,40
2004-W41,2004,41
2004-W42,2004,42
2004-W43,2004,43
2004-W44,2004,44
2004-W45,2004,45
2004-W46,2004,46
2004-W47,2004,47
2004-W48,2004,48
2004-W49,2004,49
2004-W50,2004,50
2004-W51,2004,51
2004-W52,2004,52
2005-W01,2005,1
2005-W02,2005,2
2005-W03,2005,3
2005-W04,2005,4
2005-W05,2005,5
2005-W06,2005,6
2005-W07,2005,7
2005-W08,2005,8
2005-W09,2005,9
2005-W10,2005,10
2005-W11,2005,11
2005-W12,2005,12
2005-W13,2005,13
2005-W14,2005,14
2005-W15,2005,15
2005-W16,2005,16
2005-W17,2005,17
2005-W18,2005,18
2005-W19,2005,19
2005-W20,2005,20
2005-W21,2005,21
2005-W22,2005,22
2005-W23,2005,23
2005-W24,2005,24
2005-W25,2005,25
2005-W26,2005,26
2005-W27,2005,27
2005-W28,2005,28
2005-W29,2005,29
2005-W30,2005,30
2005-W31,2005,31
2005-W32,2005,32
2005-W33,2005,33
2005-W34,2005,34
2005-W35,2005,35
2005-W36,2005,36
2005-W37,2005,37
2005-W38,2005,38
2005-W39,2005,39
2005-W40,2005,40
2005-W41,2005,41
2005-W42,2005,42
2005-W43,2005,43
2005-W44,2005,44
2005-W45,2005,45
2005-W46,2005,46
2005-W47,2005,47
2005-W48,2005,48
2005-W49,2005,49
2005-W50,2005,50
2005-W51,2005,51
2005-W52,2005,52
2006-W01,2006,1
2006-W02,2006,2
2006-W03,2006,3
2006-W04,2006,4
2006-W05,2006,5
2006-W06,2006,6
2006-W07,2006,7
2006-W08,2006,8
2006-W09,2006,9
2006-W10,2006,10
2006-W11,2006,11
2006-W12,2006,12
2006-W13,2006,13
2006-W14,2006,14
2006-W15,2006,15
2006-W16,2006,16
2006-W17,2006,17
2006-W18,2006,18
2006-W19,2006,19
2006-W20,2006,20
2006-W21,2006,21
2006-W22,2006,22
2006-W23,2006,23
2006-W24,2006,24
2006-W25,2006,25
2006-W26,2006,26
2006-W27,2006,27
2006-W28,2006,28
2006-W29,2006,29
2006-W30,2006,30
2006-W31,2006,31
2006-W32,2006,32
2006-W33,2006,33
2006-W34,2006,34
2006-W35,2006,35
2006-W36,2006,36
2006-W37,2006,37
2006-W38,2006,38
2006-W39,2006,39
2006-W40,2006,40
2006-W41,2006,41
2006-W42,2006,42
2006-W43,2006,43
2006-W44,2006,44
2006-W45,2006,45
2006-W46,2006,46
2006-W47,2006,47
2006-W48,2006,48
2006-W49,2006,49
2006-W50,2006,50
2006-W51,2006,51
2006-W52,2006,52
2007-W01,2007,1
2007-W02,2007,2
2007-W03,2007,3
2007-W04,2007,4
2007-W05,2007,5
2007-W06,2007,6
2007-W07,2007,7
2007-W08,2007,8
2007-W09,2007,9
2007-W10,2007,10
2007-W11,2007,11
2007-W12,2007,12
2007-W13,2007,13
2007-W14,2007,14
2007-W15,2007,15
2007-W16,2007,16
2007-W17,2007,17
2007-W18,2007,18
2007-W19,2007,19
2007-W20,2007,20
2007-W21,2007,21
2007-W22,2007,22
2007-W23,2007,23
2007-W24,2007,24
2007-W25,2007,25
2007-W26,2007,26
2007-W27,2007,27
2007-W28,2007,28
2007-W29,2007,29
2007-W30,2007,30
2007-W31,2007,31
2007-W32,2007,32
2007-W33,2007,33
2007-W34,2007,34
2007-W35,2007,35
2007-W36,2007,36
2007-W37,2007,37
2007-W38,2007,38
2007-W39,2007,39
2007-W40,2007,40
2007-W41,2007,41
2007-W42,2007,42
2007-W43,2007,43
2007-W44,2007,44
2007-W45,2007,45
2007-W46,2007,46
2007-W47,2007,47
2007-W48,2007,48
2007-W49,2007,49
2007-W50,2007,50
2007-W51,2007,51
2007-W52,2007,52
2008-W01,2008,1
2008-W02,2008,2
2008-W03,2008,3
2008-W04,2008,4
2008-W05,2008,5
2008-W06,2008,6
2008-W07,2008,7
2008-W08,2008,8
2008-W09,2008,9
2008-W10,2008,10
2008-W11,2008,11
